School,Rank,Adj_type,Salary,,,,,,
Amherst,Full ,Real,"155,833",,,,,,
Amherst,Assoc,Real,"110,986",,,,,,
Amherst,Assist,Real,"93,329",,,,,,
Amherst,Full ,COLA,"142,275",,,,,,
Amherst,Assoc,COLA,"101,330",,,,,,
Amherst,Assist,COLA,"85,859",,,,,,
Bates,Full ,Real,"134,487",,,,,,
Bates,Assoc,Real,"105,217",,,,,,
Bates,Assist,Real,"85,862",,,,,,
Bates,Full ,COLA,"153,181",,,,,,
Bates,Assoc,COLA,"119,842",,,,,,
Bates,Assist,COLA,"85,862",,,,,,
Bowdoin,Full ,Real,"146,857",,,,,,
Bowdoin,Assoc,Real,"113,680",,,,,,
Bowdoin,Assist,Real,"91,352",,,,,,
Bowdoin,Full ,COLA,"137,458",,,,,,
Bowdoin,Assoc,COLA,"106,405",,,,,,
Bowdoin,Assist,COLA,"85,506",,,,,,
Carleton,Full ,Real,"141,305",,,,,,
Carleton,Assoc,Real,"107,210",,,,,,
Carleton,Assist,Real,"88,514",,,,,,
Carleton,Full ,COLA,"137,914",,,,,,
Carleton,Assoc,COLA,"104,637",,,,,,
Carleton,Assist,COLA,"86,389",,,,,,
Claremont McKenna,Full ,Real,"176,098",,,,,,
Claremont McKenna,Assoc,Real,"128,042",,,,,,
Claremont McKenna,Assist,Real,"108,670",,,,,,
Claremont McKenna,Full ,COLA,"60,402",,,,,,
Claremont McKenna,Assoc,COLA,"43,918",,,,,,
Claremont McKenna,Assist,COLA,"37,274",,,,,,
Colby,Full ,Real,"145,971",,,,,,
Colby,Assoc,Real,"105,841",,,,,,
Colby,Assist,Real,"88,084",,,,,,
Colby,Full ,COLA,"177,063",,,,,,
Colby,Assoc,COLA,"128,386",,,,,,
Colby,Assist,COLA,"106,846",,,,,,
Colgate,Full ,Real,"151,654",,,,,,
Colgate,Assoc,Real,"108,479",,,,,,
Colgate,Assist,Real,"92,464",,,,,,
Colgate,Full ,COLA,"175,008",,,,,,
Colgate,Assoc,COLA,"125,185",,,,,,
Colgate,Assist,COLA,"106,704",,,,,,
Davidson,Full ,Real,"134,729",,,,,,
Davidson,Assoc,Real,"98,243",,,,,,
Davidson,Assist,Real,"79,877",,,,,,
Davidson,Full ,COLA,"112,095",,,,,,
Davidson,Assoc,COLA,"81,738",,,,,,
Davidson,Assist,COLA,"66,458",,,,,,
Furman,Full ,Real,"102,723",,,,,,
Furman,Assoc,Real,"82,983",,,,,,
Furman,Assist,Real,"70,364",,,,,,
Furman,Full ,COLA,"114,331",,,,,,
Furman,Assoc,COLA,"92,360",,,,,,
Furman,Assist,COLA,"78,315",,,,,,
Grinnell,Full ,Real,"139,558",,,,,,
Grinnell,Assoc,Real,"105,908",,,,,,
Grinnell,Assist,Real,"87,727",,,,,,
Grinnell,Full ,COLA,"168,586",,,,,,
Grinnell,Assoc,COLA,"127,936",,,,,,
Grinnell,Assist,COLA,"105,974",,,,,,
Hamilton,Full ,Real,"142,149",,,,,,
Hamilton,Assoc,Real,"108,150",,,,,,
Hamilton,Assist,Real,"88,383",,,,,,
Hamilton,Full ,COLA,"176,976",,,,,,
Hamilton,Assoc,COLA,"134,647",,,,,,
Hamilton,Assist,COLA,"110,037",,,,,,
Haverford,Full ,Real,"131,176",,,,,,
Haverford,Assoc,Real,"101,031",,,,,,
Haverford,Assist,Real,"84,959",,,,,,
Haverford,Full ,COLA,"38,828",,,,,,
Haverford,Assoc,COLA,"29,905",,,,,,
Haverford,Assist,COLA,"25,148",,,,,,
Macalester,Full ,Real,"126,583",,,,,,
Macalester,Assoc,Real,"95,133",,,,,,
Macalester,Assist,Real,"79,775",,,,,,
Macalester,Full ,COLA,"128,355",,,,,,
Macalester,Assoc,COLA,"96,465",,,,,,
Macalester,Assist,COLA,"80,892",,,,,,
Middlebury,Full ,Real,"140,387",,,,,,
Middlebury,Assoc,Real,"104,368",,,,,,
Middlebury,Assist,Real,"90,234",,,,,,
Middlebury,Full ,COLA,"144,318",,,,,,
Middlebury,Assoc,COLA,"107,290",,,,,,
Middlebury,Assist,COLA,"92,761",,,,,,
Oberlin,Full ,Real,"122,742",,,,,,
Oberlin,Assoc,Real,"94,994",,,,,,
Oberlin,Assist,Real,"72,109",,,,,,
Oberlin,Full ,COLA,"150,850",,,,,,
Oberlin,Assoc,COLA,"116,748",,,,,,
Oberlin,Assist,COLA,"88,623",,,,,,
