Year,Rank,Salary
1999,Full,118499
1999,Assoc,84106
1999,Assist,68568
2000,Full,120336
2000,Assoc,86407
2000,Assist,68848
2001,Full,122185
2001,Assoc,87549
2001,Assist,71245
2002,Full,124735
2002,Assoc,91073
2002,Assist,71825
2003,Full,127046
2003,Assoc,94992
2003,Assist,77614
2004,Full,135909
2004,Assoc,105093
2004,Assist,84680
2005,Full,136786
2005,Assoc,102906
2005,Assist,80994
2006,Full,137335
2006,Assoc,102225
2006,Assist,76298
2007,Full,139887
2007,Assoc,106370
2007,Assist,83860
2008,Full,134947
2008,Assoc,102144
2008,Assist,75018
2009,Full,135710
2009,Assoc,98884
2009,Assist,71980
2010,Full,132801
2010,Assoc,97786
2010,Assist,72093
2011,Full,133124
2011,Assoc,99182
2011,Assist,77205
2012,Full,135365
2012,Assoc,100768
2012,Assist,78223
2013,Full,138431
2013,Assoc,102212
2013,Assist,81659
2014,Full,140476
2014,Assoc,103745
2014,Assist,80132
2015,Full,140171
2015,Assoc,106356
2015,Assist,82091
2016,Full,139827
2016,Assoc,108464
2016,Assist,78910
2017,Full,137674
2017,Assoc,104273
2017,Assist,79025
2018,Full,137488
2018,Assoc,101035
2018,Assist,75826
2019,Full,137673
2019,Assoc,102242
2019,Assist,84021
2020,Full,134729
2020,Assoc,98243
2020,Assist,79877
