Year,Tutition_type,Amount
1999,Normal,22228
1999,Adjusted,34531
2000,Normal,23094
2000,Adjusted,34710
2001,Normal,23995
2001,Adjusted,35086
2002,Normal,24930
2002,Adjusted,35865
2003,Normal,25902
2003,Adjusted,36434
2004,Normal,27171
2004,Adjusted,37228
2005,Normal,28667
2005,Adjusted,37989
2006,Normal,30194
2006,Adjusted,38763
2007,Normal,31794
2007,Adjusted,39686
2008,Normal,33479
2008,Adjusted,40244
2009,Normal,35124
2009,Adjusted,42373
2010,Normal,36683
2010,Adjusted,43539
2011,Normal,38886
2011,Adjusted,44742
2012,Normal,40809
2012,Adjusted,46002
2013,Normal,42849
2013,Adjusted,47604
2014,Normal,45377
2014,Adjusted,49608
2015,Normal,46966
2015,Adjusted,51285
2016,Normal,48376
2016,Adjusted,52166
2017,Normal,49949
2017,Adjusted,52739
2018,Normal,51447
2018,Adjusted,53025
2019,Normal,52524
2019,Adjusted,53172
2020,Normal,55000
2020,Adjusted,55000
