Year,Tutition_type,Amount
1999,Normal,"22,228"
1999,Adjusted,34530.91781
2000,Normal,"23,094"
2000,Adjusted,34709.53101
2001,Normal,"23,995"
2001,Adjusted,35085.70594
2002,Normal,"24,930"
2002,Adjusted,35865.24868
2003,Normal,"25,902"
2003,Adjusted,36433.65436
2004,Normal,"27,171"
2004,Adjusted,37227.51846
2005,Normal,"28,667"
2005,Adjusted,37989.42619
2006,Normal,"30,194"
2006,Adjusted,38762.59593
2007,Normal,"31,794"
2007,Adjusted,39686.30056
2008,Normal,"33,479"
2008,Adjusted,40244.36942
2009,Normal,"35,124"
2009,Adjusted,42372.53981
2010,Normal,"36,683"
2010,Adjusted,43539.10878
2011,Normal,"38,886"
2011,Adjusted,44741.57237
2012,Normal,"40,809"
2012,Adjusted,46002.15205
2013,Normal,"42,849"
2013,Adjusted,47604.46147
2014,Normal,"45,377"
2014,Adjusted,49608.28413
2015,Normal,"46,966"
2015,Adjusted,51284.58056
2016,Normal,"48,376"
2016,Adjusted,52166.14902
2017,Normal,"49,949"
2017,Adjusted,52738.86518
2018,Normal,"51,447"
2018,Adjusted,53025.4016
2019,Normal,"52,524"
2019,Adjusted,53171.9803
2020,Normal,"55,000"
2020,Adjusted,55000
