Year,Adj_tuition,Adj_salary
1999,34530.91781,118588.824
2000,34709.53101,116671.902
2001,35085.70594,116094.4565
2002,35865.24868,117175.6794
2003,36433.65436,121392.8616
2004,37227.51846,130003.3412
2005,37989.42619,121851.8454
2006,38762.59593,114592.3321
2007,39686.30056,118726.0435
2008,40244.36942,106481.2064
2009,42372.53981,103062.3835
2010,43539.10878,100815.3032
2011,44741.57237,101473.9345
2012,46002.15205,100884.5753
2013,47604.46147,102138.3945
2014,49608.28413,100511.1043
2015,51284.58056,102887.7554
2016,52166.14902,101027.1808
2017,52738.86518,96767.93808
2018,53025.4016,91143.51196
2019,53171.9803,94280.54985
2020,55000,89059.91
