Year,Student,Faculty
1999,409569.1842,4451372.94
2000,450122.2279,4939584.167
2001,408884.8252,4471010.476
2002,366812.4423,3915838.708
2003,329148.5157,3566476.989
2004,363443.8075,3942675.361
2005,398474.8509,4217822.331
2006,417237.7377,4293429.51
2007,457910.307,4646114.639
2008,441978.8376,4441087.92
2009,315774.5852,3376654.358
2010,348863.5925,3639039.001
2011,387198.8093,4197038.783
2012,362094.6183,3812640.321
2013,389856.8644,4006119.3
2014,438748.5783,4338468.897
2015,456260.8939,4624823.275
2016,428638.903,4161269.664
2017,449872.0543,4331218.815
2018,473671.7372,4453959.594
2019,491752.7445,4449996.253
2020,456812,4484445.289
